submission_id,age,cups,where_drink,brew,brew_other,purchase,favorite,additions,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,education_level,employment_status,marital_status,number_children,household_income
QAeYZY,>65 years old,3,"('At the office', 'At a cafe')",,,,Cortado,"('No - just black',)",,,Fruity,Somewhat strong,Blonde,Full caffeine,7,3,3,3,3,3,3,3,3,3,3,3,3,Coffee C,Coffee D,Coffee D,,,,,,,,,,,,,,,,,
QA5JYA,25-34 years old,1,"('At home', 'At the office', 'On the go')","('Pour over', 'Coffee brewing machine (e.g. Mr. Coffee)')",,"('National chain (e.g. Starbucks / Dunkin)', 'Local cafe', 'Specialty coffee shop')",Regular drip coffee,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener')","('Half and half',)","('Granulated Sugar', 'Brown Sugar')",Sweet,Somewhat strong,Medium,Full caffeine,6,3,3,3,3,3,3,3,3,3,3,3,3,Coffee A,Coffee A,Coffee B,I primarily work from home,$40-$60,,,,,,,,,,Female,Bachelor's degree,Employed full-time,Married,None,"$150,000 or more"
Rz5BPj,25-34 years old,2,"('At a cafe',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyDqva,18-24 years old,2,"('At the office',)",,,,Iced coffee,"('Milk, dairy alternative, or coffee creamer',)","('Oat milk',)",,Nutty,Somewhat strong,Nordic,Full caffeine,4,4,4,4,4,4,4,,4,4,4,4,4,,Coffee D,Coffee A,,,,,,,,,,,,,,,,,
eB7QoJ,18-24 years old,3,"('At home',)","('Pour over',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24xzlg,18-24 years old,,"('At home',)","('Other',)",Aeropress,,Pourover,"('No - just black',)",,,Bright,Somewhat light,Light,Full caffeine,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVvoqX,35-44 years old,,"('At the office', 'On the go', 'At home')","('Espresso',)",,"('Local cafe',)",Cappuccino,"('Milk, dairy alternative, or coffee creamer',)","('Oat milk',)",,Caramalized,Somewhat strong,Medium,Full caffeine,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1r2YJQ,25-34 years old,More than 4,"('At the office', 'At home', 'At a cafe', 'On the go')","('Coffee extract (e.g. Cometeer)',)",,"('National chain (e.g. Starbucks / Dunkin)', 'Specialty coffee shop', 'Local cafe')",Regular drip coffee,"('No - just black',)",,,Bold,Very strong,,Full caffeine,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24xYOV,45-54 years old,1,"('At home',)","('Pour over',)",,,Regular drip coffee,"('No - just black',)",,,Fruity,Medium,Light,Full caffeine,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlbYao,18-24 years old,2,"('At the office', 'At home')","('Pod/capsule machine (e.g. Keurig/Nespresso)', 'French press')",,,Latte,"('Flavor syrup', 'Milk, dairy alternative, or coffee creamer')","('Whole milk',)",,Full Bodied,Somewhat strong,Medium,Full caffeine,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2krYz,35-44 years old,1,"('At home', 'At a cafe')","('Pour over', 'Espresso')",,,Pourover,"('No - just black',)",,,Fruity,,Medium,Full caffeine,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAp6ak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aBr18q,25-34 years old,3,"('At home', 'On the go')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42NYWO,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6dQ08e,25-34 years old,1,"('At a cafe', 'At home', 'On the go')","('Espresso', 'Cold brew', 'Pour over')",,"('Specialty coffee shop',)",Latte,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk',)",,Chocolatey,Very strong,Medium,Full caffeine,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2kj9J,18-24 years old,2,,"('French press', 'Cold brew')",,,Iced coffee,"('No - just black',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8dpDNA,18-24 years old,3,,"('Pour over', 'Espresso')",,,Pourover,"('No - just black',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPbVlL,<18 years old,,"('At home',)","('Pour over',)",,,Regular drip coffee,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ylqbBg,45-54 years old,2,"('At home', 'At the office', 'At a cafe', 'On the go')","('Pour over', 'French press', 'Espresso')",,"('Local cafe', 'Specialty coffee shop')",Regular drip coffee,"('No - just black',)",,,Floral,Medium,Light,Full caffeine,8,3,3,4,3,3,5,4,3,3,5,2,3,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"('It tastes good',)",,Yes,Yes,$4-$6,$8-$10,No,$500-$1000,Yes,Male,Master's degree,Employed full-time,Married,2,"$100,000 - $149,999"
vNx6A4,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMB2og,,,,,,,,"('No - just black',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qbEQPO,18-24 years old,3,"('At the office', 'At home', 'At a cafe')","('Pour over', 'Cold brew', 'Other')",Mokkapot,,Pourover,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9dJ0O5,25-34 years old,2,"('At home', 'At the office', 'At a cafe')","('French press', 'Pod/capsule machine (e.g. Keurig/Nespresso)', 'Other')",Moka pot,,Cortado,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Whole milk',)",,Fruity,Somewhat strong,Light,Full caffeine,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGboZR,18-24 years old,3,"('At home', 'At a cafe', 'On the go')","('Pour over', 'French press', 'Espresso', 'Other', 'Cold brew', 'Coffee brewing machine (e.g. Mr. Coffee)')","Aeropress, moka pot.","('Local cafe', 'Specialty coffee shop')",Espresso,"('No - just black', 'Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener')","('Whole milk',)","('Honey',)",Full Bodied,Medium,Light,Full caffeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oAVNdO,>65 years old,1,"('At home',)","('Pod/capsule machine (e.g. Keurig/Nespresso)',)",,,Regular drip coffee,"('No - just black',)",,,Full Bodied,Somewhat strong,Dark,,2,3,3,3,3,3,3,4,3,,4,3,4,Coffee C,Coffee D,Coffee C,,,,,,,,,,,,,,,,,
YZzBdN,25-34 years old,2,"('At home', 'At the office')","('Pour over', 'Espresso')",,,Pourover,"('No - just black',)",,,Floral,Medium,Light,Full caffeine,10,1,4,4,1,4,4,1,4,4,2,4,4,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$2-$4,More than $20,Yes,$50-$100,Yes,Male,Master's degree,Unemployed,Single,None,"Under $25,000"
VZ17Z6,35-44 years old,1,"('At the office', 'At home')","('Pour over',)",,,Iced coffee,"('No - just black',)",,,Fruity,Very strong,Light,Full caffeine,6,1,4,3,3,2,4,3,4,1,1,4,5,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,"('It tastes good',)",,Yes,Yes,$10-$15,More than $20,Yes,$100-$300,Yes,Male,Bachelor's degree,Employed full-time,Married,3,"$75,000 - $99,999"
RzBeZj,45-54 years old,More than 4,"('At home',)","('Pour over', 'French press', 'Pod/capsule machine (e.g. Keurig/Nespresso)')",,,Pourover,"('No - just black',)",,,Full Bodied,Somewhat strong,Dark,Full caffeine,7,2,3,4,3,2,2,2,2,2,3,3,2,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$10-$15,$15-$20,Yes,$300-$500,Yes,Male,Bachelor's degree,Employed full-time,Married,3,"$150,000 or more"
0Ej0GZ,35-44 years old,1,"('At the office', 'At a cafe', 'At home')","('Pour over', 'Espresso', 'Other')",Aeropress,,Cappuccino,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener', 'No - just black')","('Skim milk', 'Oat milk')","('Granulated Sugar', 'Brown Sugar')",Nutty,Medium,Medium,Full caffeine,8,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eBxO4l,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WApbkQ,35-44 years old,2,"('At a cafe', 'At home')","('Espresso', 'Pod/capsule machine (e.g. Keurig/Nespresso)')",,,Cappuccino,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk',)",,Floral,Somewhat strong,Blonde,Full caffeine,4,3,4,5,2,3,4,2,3,4,1,2,3,Coffee A,Coffee A,Coffee A,I do a mix of both,$60-$80,"('I need the ritual', 'It tastes good')",,Yes,Yes,$6-$8,$4-$6,Yes,"More than $1,000",Yes,Male,Less than high school,Unemployed,Living with a partner,2,"$150,000 or more"
0Ej0WA,45-54 years old,2,"('At home',)","('Coffee extract (e.g. Cometeer)', 'Pour over')",,,Pourover,"('No - just black',)",,,Fruity,Somewhat light,Light,Full caffeine,8,4,3,3,2,2,4,3,2,3,3,4,5,Coffee B,Coffee D,Coffee D,I primarily work from home,>$100,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Male,Bachelor's degree,Employed full-time,Married,More than 3,"$150,000 or more"
9dJYlQ,35-44 years old,2,"('At home', 'At the office')","('Other',)",Aeropress,,Latte,"('Milk, dairy alternative, or coffee creamer',)","('Half and half',)",,Nutty,Somewhat strong,Medium,Full caffeine,2,1,5,2,2,3,3,2,3,4,2,2,5,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,No,$4-$6,$6-$8,Yes,$50-$100,Yes,Male,Bachelor's degree,Employed full-time,Single,None,"$100,000 - $149,999"
BGbJzQ,35-44 years old,1,"('At home', 'At the office', 'On the go')","('Espresso', 'Pod/capsule machine (e.g. Keurig/Nespresso)')",,"('National chain (e.g. Starbucks / Dunkin)',)",Latte,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener', 'Flavor syrup')","('Whole milk', 'Half and half')","('Brown Sugar',)",Chocolatey,Medium,Light,Full caffeine,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OABqpR,25-34 years old,1,"('At home',)","('French press',)",,,Cappuccino,"('Milk, dairy alternative, or coffee creamer',)","('Almond milk',)",,Chocolatey,Medium,Medium,Half caff,7,4,4,1,3,3,3,4,4,2,3,3,2,Coffee B,Coffee D,Coffee B,,,,,,,,,,,,,,,,,
bl41Zg,45-54 years old,Less than 1,"('At a cafe',)",,,,Iced coffee,"('Sugar or sweetener',)",,"('Granulated Sugar',)",Sweet,Somewhat strong,Medium,Half caff,2,2,4,4,2,3,2,4,2,5,4,2,4,Coffee C,Coffee A,Coffee D,I primarily work in person,<$20,"('It tastes good', 'I need the caffeine')",,Yes,No,$8-$10,$8-$10,No,$20-$50,Yes,Male,Some college or associate's degree,Employed full-time,Single,None,"$25,000 - $49,999"
GrBVrk,25-34 years old,1,"('On the go',)",,,"('Deli or supermarket',)",Cold brew,"('No - just black',)",,,Chocolatey,Somewhat strong,Medium,Full caffeine,1,2,2,3,2,2,3,3,4,3,4,3,2,Coffee B,Coffee A,Coffee C,,,,,,,,,,,,,,,,,
WApbYk,35-44 years old,1,"('At the office', 'At home')","('Other',)",Aeropress,,Americano,"('Milk, dairy alternative, or coffee creamer',)","('Oat milk', 'Soy milk')",,Nutty,Medium,Light,Full caffeine,7,4,3,3,2,3,2,2,4,1,2,2,5,Coffee A,Coffee D,Coffee D,I primarily work from home,,"('I need the ritual', 'It tastes good')",,Yes,Yes,$8-$10,$4-$6,Yes,$100-$300,Yes,Female,Bachelor's degree,Employed full-time,Married,1,"$150,000 or more"
eBxG20,35-44 years old,3,"('At home', 'At the office')","('Espresso', 'Pour over', 'French press', 'Cold brew')",,,Espresso,"('No - just black',)",,,Nutty,Somewhat strong,Medium,Half caff,8,1,1,1,2,2,2,3,3,3,4,4,4,Coffee A,Coffee D,Coffee C,I do a mix of both,$20-$40,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",No,Male,Doctorate or professional degree,Employed full-time,Married,2,
24x9NA,25-34 years old,2,"('At home',)","('Pour over', 'Instant coffee', 'Cold brew')",,,Pourover,"('No - just black', 'Other')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAB2qB,25-34 years old,2,"('At home',)","('Espresso',)",,,Cortado,"('No - just black',)",,,Chocolatey,Somewhat strong,Dark,Full caffeine,7,2,4,3,4,3,5,3,3,4,2,5,2,Coffee B,Coffee A,Coffee B,I primarily work from home,$60-$80,"('It tastes good', 'I need the ritual')",,Yes,No,$4-$6,$6-$8,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Married,1,"$100,000 - $149,999"
RzBqoJ,35-44 years old,2,"('At home',)","('Espresso', 'Cold brew', 'Pour over')",,,Cold brew,"('No - just black',)",,,Nutty,Medium,Light,Full caffeine,7,1,2,4,4,2,2,2,3,3,3,4,5,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"('I need the ritual', 'It tastes good', 'I need the caffeine')",,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,Bachelor's degree,Employed full-time,Married,None,"$150,000 or more"
jB98xY,35-44 years old,Less than 1,"('On the go',)",,,"('Local cafe',)",Espresso,,,,Nutty,Very strong,Medium,Half caff,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LdMxB2,35-44 years old,2,"('At the office', 'At home', 'On the go')","('Espresso', 'Cold brew')",,"('Local cafe',)",Iced coffee,"('Milk, dairy alternative, or coffee creamer',)","('Oat milk', 'Soy milk')",,Full Bodied,,Medium,Full caffeine,6,2,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrBOrz,25-34 years old,,,,,,,"('Milk, dairy alternative, or coffee creamer', 'No - just black')","('Oat milk',)",,Chocolatey,Medium,Dark,,5,2,4,,3,3,3,,,,4,2,,,,,,,,,,,,,,,,,,,,,
5dqajd,25-34 years old,More than 4,"('At home', 'At a cafe')","('Other',)",Areopress,,Cappuccino,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,6,2,4,4,5,1,2,3,3,3,1,5,5,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,"('I need the ritual', 'I need the caffeine', 'It tastes good')",,Yes,Yes,$6-$8,More than $20,Yes,$300-$500,No,Male,Bachelor's degree,Employed full-time,Single,None,"$50,000 - $74,999"
VZ1W0E,35-44 years old,More than 4,"('At home', 'At a cafe')","('Pod/capsule machine (e.g. Keurig/Nespresso)', 'Cold brew', 'French press', 'Pour over', 'Coffee brewing machine (e.g. Mr. Coffee)')",,,Espresso,"('No - just black',)",,,Bold,Very strong,Medium,Full caffeine,8,1,1,4,3,2,3,1,1,3,1,4,1,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Master's degree,Employed full-time,Married,2,"$150,000 or more"
NABN5G,45-54 years old,More than 4,"('At home',)","('Pod/capsule machine (e.g. Keurig/Nespresso)', 'Other')",Aeropress,,Americano,"('No - just black',)",,,Bold,Somewhat strong,Dark,Half caff,6,2,5,1,2,3,5,2,2,3,2,5,1,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,"('It tastes good', 'I need the ritual')",,Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Female,,,Single,,
6dQY8o,25-34 years old,2,"('At home', 'At a cafe', 'On the go', 'At the office')","('Pour over', 'Espresso')",,"('Specialty coffee shop',)",Cappuccino,"('No - just black',)",,,Juicy,Somewhat strong,Light,Full caffeine,8,2,4,4,4,2,4,4,3,3,1,4,5,Coffee A,Coffee D,Coffee D,I primarily work in person,>$100,"('It tastes good', 'I need the ritual')",,Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Living with a partner,None,"$150,000 or more"
WAp6va,45-54 years old,More than 4,"('At home',)","('Espresso', 'Bean-to-cup machine', 'Pour over')",,,Espresso,"('Milk, dairy alternative, or coffee creamer',)","('Half and half',)",,Bold,Somewhat strong,Dark,Full caffeine,8,2,4,2,3,2,4,3,3,3,3,4,2,Coffee B,Coffee D,Coffee B,I primarily work from home,$60-$80,"('It tastes good', 'I need the ritual', 'I need the caffeine')",,Yes,No,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Master's degree,Employed full-time,Married,3,"$150,000 or more"
EPbVGA,25-34 years old,,"('At home', 'At the office', 'At a cafe')","('Coffee brewing machine (e.g. Mr. Coffee)', 'Cold brew')",,,Latte,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener')",,"('Granulated Sugar',)",Chocolatey,Medium,Medium,Full caffeine,,3,,4,2,,3,,,,,,,Coffee A,Coffee A,,,,,,,,,,,,,,,,,,
OABqQp,35-44 years old,2,"('On the go', 'At a cafe', 'At the office')",,,"('Local cafe', 'National chain (e.g. Starbucks / Dunkin)')",Latte,"('Sugar or sweetener', 'Milk, dairy alternative, or coffee creamer', 'No - just black')","('Whole milk', 'Half and half', 'Flavored coffee creamer')","('Raw Sugar (Turbinado)', 'Brown Sugar')",Sweet,Very strong,Medium,Full caffeine,3,2,2,5,2,2,4,2,2,4,2,2,4,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$4-$6,$6-$8,Yes,$20-$50,Yes,Male,Some college or associate's degree,Employed full-time,Divorced,None,"$50,000 - $74,999"
DVvOop,35-44 years old,2,"('At home',)","('Espresso',)",,,Cold brew,"('Other',)",,,Nutty,Somewhat strong,Dark,Full caffeine,5,3,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
KMBrLz,25-34 years old,3,"('At the office', 'At home')","('Pour over', 'French press', 'Espresso', 'Cold brew')",,,Cappuccino,"('Milk, dairy alternative, or coffee creamer', 'No - just black')","('Skim milk',)",,Caramalized,Somewhat strong,Medium,Full caffeine,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jB9r21,25-34 years old,1,"('At home', 'At a cafe')","('Pour over', 'Espresso', 'Coffee brewing machine (e.g. Mr. Coffee)', 'Cold brew')",,,Latte,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk',)",,Chocolatey,Somewhat strong,Medium,Full caffeine,5,2,3,3,3,2,3,1,2,3,2,4,4,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,"('I need the ritual',)",,Yes,No,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Married,2,"$150,000 or more"
pLPYLE,25-34 years old,2,"('At the office', 'On the go')",,,"('Drive-thru', 'National chain (e.g. Starbucks / Dunkin)')",Iced coffee,"('Milk, dairy alternative, or coffee creamer',)","('Half and half',)",,Caramalized,Very strong,Light,Full caffeine,8,4,3,5,3,4,1,5,3,2,2,2,4,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Single,None,"$75,000 - $99,999"
oAV8yX,35-44 years old,2,"('At home',)","('Espresso',)",,,Other,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk',)",,Floral,Somewhat strong,Light,Full caffeine,9,2,4,5,4,2,1,5,1,1,1,5,5,Coffee A,Coffee A,Coffee A,,,,,,,,,,,,,,,,,
aBrp0W,18-24 years old,4,"('At home',)","('Coffee brewing machine (e.g. Mr. Coffee)', 'Cold brew')",,,Cold brew,"('No - just black', 'Sugar or sweetener', 'Milk, dairy alternative, or coffee creamer')","('Flavored coffee creamer',)","('Granulated Sugar', 'Artificial Sweeteners (e.g. Splenda)')",Sweet,Medium,Light,Full caffeine,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5NPxK,25-34 years old,2,"('At home', 'At the office')","('Espresso', 'Pour over')",,,Cappuccino,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Oat milk',)",,Fruity,Somewhat strong,Light,Full caffeine,9,2,3,3,3,2,3,2,4,3,1,4,4,Coffee C,Coffee D,Coffee D,,$40-$60,"('It tastes good',)",,Yes,Yes,$15-$20,$15-$20,No,"More than $1,000",Yes,Male,,,Married,,
bl41kE,25-34 years old,2,"('At home', 'At a cafe', 'On the go')","('Pour over', 'French press', 'Espresso', 'Coffee brewing machine (e.g. Mr. Coffee)')",,"('Specialty coffee shop', 'Drive-thru', 'Local cafe', 'National chain (e.g. Starbucks / Dunkin)')",Pourover,"('Milk, dairy alternative, or coffee creamer',)","('Half and half',)",,Nutty,Somewhat strong,Light,Full caffeine,7,2,5,5,5,1,2,4,2,4,3,3,3,Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,"('It tastes good', 'I need the ritual', 'I need the caffeine', 'It makes me go to the bathroom')",,Yes,Yes,$10-$15,$10-$15,No,$500-$1000,Yes,Male,Bachelor's degree,Employed full-time,Married,None,"$100,000 - $149,999"
GrBO1z,45-54 years old,2,"('At home', 'At the office')","('Pour over', 'French press')",,,Cappuccino,"('Milk, dairy alternative, or coffee creamer',)","('Half and half', 'Whole milk')",,Chocolatey,Medium,Medium,Full caffeine,6,2,4,4,3,3,4,4,2,1,1,5,5,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Master's degree,Employed full-time,Single,2,"$150,000 or more"
xdN8Q9,25-34 years old,2,"('At home', 'At a cafe', 'On the go')","('Pour over', 'French press', 'Espresso', 'Coffee brewing machine (e.g. Mr. Coffee)', 'Cold brew')",,"('Local cafe',)",Pourover,"('No - just black',)",,,Fruity,Very strong,Light,Full caffeine,8,3,4,4,2,2,3,3,2,3,4,5,4,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"('It tastes good',)",,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Master's degree,Employed full-time,Married,None,"$75,000 - $99,999"
vNx8Xv,35-44 years old,1,"('At home',)","('French press',)",,,Cold brew,"('Milk, dairy alternative, or coffee creamer',)","('Oat milk',)",,Chocolatey,Medium,Medium,Full caffeine,6,2,2,4,2,2,5,3,4,2,3,4,1,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Female,Bachelor's degree,Unemployed,Married,1,"$50,000 - $74,999"
